Date,Open,High,Low,Close,Volume
1993-02-08,3.5132,3.5132,3.5132,3.5132,20025
1993-02-09,3.4602,3.4602,3.4602,3.4602,31067
1993-02-11,3.3896,3.3896,3.3896,3.3896,39562
1993-02-15,3.3896,3.3896,3.3896,3.3896,21580
1993-02-16,3.3896,3.3896,3.3896,3.3896,11890
1993-02-18,3.3543,3.3543,3.3543,3.3543,67571
1993-02-22,3.319,3.319,3.319,3.319,21498
1993-02-23,3.3543,3.3543,3.3543,3.3543,13103
1993-02-25,3.3543,3.3543,3.3543,3.3543,36327
1993-03-01,3.4072,3.4072,3.4072,3.4072,20912
1993-03-02,3.4426,3.4426,3.4426,3.4426,36397
1993-03-04,3.4779,3.4779,3.4779,3.4779,21708
1993-03-08,3.4955,3.4955,3.4955,3.4955,52424
1993-03-09,3.6014,3.6014,3.6014,3.6014,67293
1993-03-11,3.7074,3.7074,3.7074,3.7074,106963
1993-03-15,3.7603,3.7603,3.7603,3.7603,73757
1993-03-16,3.5132,3.5132,3.5132,3.5132,20964
1993-03-18,3.5838,3.5838,3.5838,3.5838,29522
1993-03-22,3.6544,3.6544,3.6544,3.6544,39486
1993-03-23,3.7427,3.7427,3.7427,3.7427,88132
1993-03-25,3.725,3.725,3.725,3.725,39570
1993-03-29,3.6721,3.6721,3.6721,3.6721,26906
1993-03-30,3.7074,3.7074,3.7074,3.7074,52800
1993-04-01,3.7074,3.7074,3.7074,3.7074,48147
1993-04-05,3.7074,3.7074,3.7074,3.7074,29846
1993-04-06,3.7074,3.7074,3.7074,3.7074,23076
1993-04-08,3.7603,3.7603,3.7603,3.7603,65407
1993-04-13,3.7956,3.7956,3.7956,3.7956,122430
1993-04-15,3.8839,3.8839,3.8839,3.8839,128981
1993-04-19,4.2723,4.2723,4.2723,4.2723,144734
1993-04-20,4.696,4.696,4.696,4.696,69825
1993-04-22,5.155,5.155,5.155,5.155,139360
1993-04-26,4.643,4.643,4.643,4.643,147307
1993-04-27,4.749,4.749,4.749,4.749,212351
1993-04-29,4.9432,4.9432,4.9432,4.9432,135420
1993-05-04,5.208,5.208,5.208,5.208,174483
1993-05-06,5.4728,5.4728,5.4728,5.4728,154537
1993-05-10,6.0201,6.0201,6.0201,6.0201,165347
1993-05-11,6.6203,6.6203,6.6203,6.6203,92496
1993-05-13,6.6909,6.6909,6.6909,6.6909,176232
1993-05-17,6.1789,6.1789,6.1789,6.1789,255909
1993-05-18,6.7968,6.7968,6.7968,6.7968,154491
1993-05-20,7.4147,7.4147,7.4147,7.4147,221923
1993-05-24,7.4147,7.4147,7.4147,7.4147,217371
1993-05-25,8.1562,8.1562,8.1562,8.1562,158156
1993-05-27,8.9153,8.9153,8.9153,8.9153,181928
1993-05-31,9.798,9.798,9.798,9.798,134481
1993-06-01,9.0036,9.0036,9.0036,9.0036,95340
1993-06-03,8.1032,8.1032,8.1032,8.1032,126869
1993-06-07,7.3088,7.3088,7.3088,7.3088
1993-06-08,6.585,6.585,6.585,6.585,66127
1993-06-09,5.9318,5.9318,5.9318,5.9318,145310
1993-06-14,6.5144,6.5144,6.5144,6.5144
1993-06-15,7.1499,7.1499,7.1499,7.1499
1993-06-17,7.8561,7.8561,7.8561,7.8561,415429
1993-06-21,7.0793,7.0793,7.0793,7.0793,221484
1993-06-22,7.5383,7.5383,7.5383,7.5383,50210
1993-06-24,7.5383,7.5383,7.5383,7.5383,125625
1993-06-28,7.7678,7.7678,7.7678,7.7678,99790
1993-06-29,7.7678,7.7678,7.7678,7.7678,97749
1993-07-01,8.5446,8.5446,8.5446,8.5446,327710
1993-07-05,9.3567,9.3567,9.3567,9.3567,277721
1993-07-06,9.3567,9.3567,9.3567,9.3567,160788
1993-07-08,8.421,8.421,8.421,8.421,331457
1993-07-12,9.1802,9.1802,9.1802,9.1802,147781
1993-07-13,9.5332,9.5332,9.5332,9.5332,143865
1993-07-15,9.7098,9.7098,9.7098,9.7098,197512
1993-07-19,9.6215,9.6215,9.6215,9.6215,91908
1993-07-20,9.8863,9.8863,9.8863,9.8863,133477
1993-07-22,9.798,9.798,9.798,9.798,63753
1993-07-26,9.7098,9.7098,9.7098,9.7098,88741
1993-07-27,9.445,9.445,9.445,9.445,72065
1993-07-29,9.3567,9.3567,9.3567,9.3567,87061
1993-08-02,9.445,9.445,9.445,9.445,97263
1993-08-03,9.7098,9.7098,9.7098,9.7098,103256
1993-08-05,9.9746,9.9746,9.9746,9.9746,121599
1993-08-09,10.9456,10.9456,10.9456,10.9456,112681
1993-08-10,12.0048,12.0048,12.0048,12.0048,73513
1993-08-12,12.1814,12.1814,12.1814,12.1814,219212
1993-08-16,12.5344,12.5344,12.5344,12.5344,108712
1993-08-17,13.7702,13.7702,13.7702,13.7702,104966
1993-08-19,15.0943,15.0943,15.0943,15.0943,154280
1993-08-23,16.5949,16.5949,16.5949,16.5949,55840
1993-08-24,18.1838,18.1838,18.1838,18.1838,49519
1993-08-26,19.9492,19.9492,19.9492,19.9492,193677
1993-08-30,18.0072,18.0072,18.0072,18.0072,68153
1993-08-31,16.2418,16.2418,16.2418,16.2418,64977
1993-09-02,17.8307,17.8307,17.8307,17.8307,103807
1993-09-06,19.5961,19.5961,19.5961,19.5961,170702
1993-09-07,17.6541,17.6541,17.6541,17.6541,75648
1993-09-09,15.8887,15.8887,15.8887,15.8887,150176
1993-09-13,15.0943,15.0943,15.0943,15.0943,61374
1993-09-14,15.8887,15.8887,15.8887,15.8887,107800
1993-09-16,16.4183,16.4183,16.4183,16.4183,96374
1993-09-20,14.8295,14.8295,14.8295,14.8295,90886
1993-09-21,14.1233,14.1233,14.1233,14.1233,108398
1993-09-23,13.2406,13.2406,13.2406,13.2406,102276
1993-09-27,14.3881,14.3881,14.3881,14.3881,91802
1993-09-28,15.7122,15.7122,15.7122,15.7122,91457
1993-09-30,16.5949,16.5949,16.5949,16.5949,136331
1993-10-04,18.1838,18.1838,18.1838,18.1838,265253
1993-10-05,19.243,19.243,19.243,19.243,132682
1993-10-07,18.5368,18.5368,18.5368,18.5368,111186
1993-10-11,19.4195,19.4195,19.4195,19.4195,197144
1993-10-12,20.214,20.214,20.214,20.214,103439
1993-10-14,19.4195,19.4195,19.4195,19.4195,131113
1993-10-18,20.214,20.214,20.214,20.214,150813
1993-10-19,20.3023,20.3023,20.3023,20.3023,176367
1993-10-21,19.5961,19.5961,19.5961,19.5961,163051
1993-10-26,19.1547,19.1547,19.1547,19.1547,118532
1993-10-28,20.214,20.214,20.214,20.214,95548
1993-11-02,20.9202,20.9202,20.9202,20.9202,122136
1993-11-04,21.538,21.538,21.538,21.538,122544
1993-11-08,21.185,21.185,21.185,21.185,139915
1993-11-09,21.185,21.185,21.185,21.185,92467
1993-11-10,22.0677,22.0677,22.0677,22.0677,67549
1993-11-15,23.8331,23.8331,23.8331,23.8331,98243
1993-11-16,25.6868,25.6868,25.6868,25.6868,101743
1993-11-18,24.6275,24.6275,24.6275,24.6275,113598
1993-11-22,24.451,24.451,24.451,24.451,144061
1993-11-23,25.1571,25.1571,25.1571,25.1571,84366
1993-11-25,24.7158,24.7158,24.7158,24.7158,79147
1993-11-29,25.0689,25.0689,25.0689,25.0689,111164
1993-11-30,25.5985,25.5985,25.5985,25.5985,115685
1993-12-02,28.1583,28.1583,28.1583,28.1583,174633
1993-12-06,30.8947,30.8947,30.8947,30.8947
1993-12-07,33.9842,33.9842,33.9842,33.9842,390712
1993-12-09,30.7182,30.7182,30.7182,30.7182,235979
1993-12-13,30.1886,30.1886,30.1886,30.1886,213400
1993-12-14,30.4534,30.4534,30.4534,30.4534,177229
1993-12-16,31.0713,31.0713,31.0713,31.0713,147256
1993-12-20,31.2478,31.2478,31.2478,31.2478,143581
1993-12-21,32.4836,32.4836,32.4836,32.4836,132303
1993-12-23,35.3083,35.3083,35.3083,35.3083,208325
1993-12-27,37.0737,37.0737,37.0737,37.0737,254093
1993-12-28,35.5731,35.5731,35.5731,35.5731,180502
1993-12-30,39.1039,39.1039,39.1039,39.1039,379158
1994-01-03,42.3699,42.3699,42.3699,42.3699,160506
1994-01-04,38.1329,38.1329,38.1329,38.1329,314877
1994-01-06,39.8983,39.8983,39.8983,39.8983,336148
1994-01-10,38.7508,38.7508,38.7508,38.7508,167588
1994-01-11,38.7508,38.7508,38.7508,38.7508,115163
1994-01-13,38.7508,38.7508,38.7508,38.7508,207351
1994-01-17,38.7508,38.7508,38.7508,38.7508,194221
1994-01-18,38.8391,38.8391,38.8391,38.8391,287819
1994-01-20,42.723,42.723,42.723,42.723,389767
1994-01-24,44.1353,44.1353,44.1353,44.1353,169785
1994-01-25,47.6662,47.6662,47.6662,47.6662,234744
1994-01-27,47.6662,47.6662,47.6662,47.6662,330104
1994-01-31,42.8995,42.8995,42.8995,42.8995,294809
1994-02-01,38.6626,38.6626,38.6626,38.6626,113226
1994-02-03,35.3083,35.3083,35.3083,35.3083,306869
1994-02-07,38.8391,38.8391,38.8391,38.8391
1994-02-08,42.723,42.723,42.723,42.723,338306
1994-02-10,43.2526,43.2526,43.2526,43.2526,164115
1994-02-14,43.3409,43.3409,43.3409,43.3409,104378
1994-02-15,44.1353,44.1353,44.1353,44.1353,246299
1994-02-17,45.1063,45.1063,45.1063,45.1063,188375
1994-02-21,44.1353,44.1353,44.1353,44.1353,152055
1994-02-22,44.1353,44.1353,44.1353,44.1353,137554
1994-02-24,44.1353,44.1353,44.1353,44.1353,158320
1994-02-28,45.9008,45.9008,45.9008,45.9008,243314
1994-03-01,47.931,47.931,47.931,47.931,185101
1994-03-03,48.7254,48.7254,48.7254,48.7254,209033
1994-03-07,47.7544,47.7544,47.7544,47.7544,94352
1994-03-08,47.3131,47.3131,47.3131,47.3131,66914
1994-03-10,42.6347,42.6347,42.6347,42.6347,116058
1994-03-14,44.665,44.665,44.665,44.665,142771
1994-03-15,44.4002,44.4002,44.4002,44.4002,63107
1994-03-17,44.665,44.665,44.665,44.665,124996
1994-03-21,40.2514,40.2514,40.2514,40.2514,75133
1994-03-22,37.0737,37.0737,37.0737,37.0737,116772
1994-03-24,40.7811,40.7811,40.7811,40.7811,204966
1994-03-28,36.7206,36.7206,36.7206,36.7206,99376
1994-03-29,33.1015,33.1015,33.1015,33.1015,168669
1994-03-31,32.6602,32.6602,32.6602,32.6602,135842
1994-04-05,33.6311,33.6311,33.6311,33.6311,100503
1994-04-07,35.4848,35.4848,35.4848,35.4848,221087
1994-04-08,35.1317,35.1317,35.1317,35.1317,128996
1994-04-11,31.6892,31.6892,31.6892,31.6892
1994-04-12,28.3349,28.3349,28.3349,28.3349,116154
1994-04-14,28.3349,28.3349,28.3349,28.3349,94992
1994-04-18,29.9238,29.9238,29.9238,29.9238,88274
1994-04-19,30.5417,30.5417,30.5417,30.5417,89169
1994-04-21,33.8959,33.8959,33.8959,33.8959,89594
1994-04-25,33.8959,33.8959,33.8959,33.8959,95106
1994-04-26,30.5417,30.5417,30.5417,30.5417
1994-04-28,27.5405,27.5405,27.5405,27.5405,73511
1994-05-05,28.688,28.688,28.688,28.688,143632
1994-05-06,25.8633,25.8633,25.8633,25.8633,125285
1994-05-09,23.48,23.48,23.48,23.48,59623
1994-05-10,24.3627,24.3627,24.3627,24.3627,65389
1994-05-12,25.5985,25.5985,25.5985,25.5985,87113
1994-05-16,27.1874,27.1874,27.1874,27.1874,82898
1994-05-17,27.1874,27.1874,27.1874,27.1874,104214
1994-05-19,28.2466,28.2466,28.2466,28.2466,119377
1994-05-23,30.012,30.012,30.012,30.012,152117
1994-05-24,31.2478,31.2478,31.2478,31.2478,105857
1994-05-26,30.5417,30.5417,30.5417,30.5417,121649
1994-05-30,30.8947,30.8947,30.8947,30.8947,108258
1994-05-31,30.5417,30.5417,30.5417,30.5417,80062
1994-06-01,27.5405,27.5405,27.5405,27.5405,70885
1994-06-06,26.3929,26.3929,26.3929,26.3929,50652
1994-06-07,25.5985,25.5985,25.5985,25.5985,81749
1994-06-09,25.5985,25.5985,25.5985,25.5985,87363
1994-06-13,23.0386,23.0386,23.0386,23.0386
1994-06-14,20.7436,20.7436,20.7436,20.7436,131431
1994-06-16,21.9794,21.9794,21.9794,21.9794,67577
1994-06-20,22.9504,22.9504,22.9504,22.9504,163623
1994-06-21,21.9794,21.9794,21.9794,21.9794,143848
1994-06-23,21.6263,21.6263,21.6263,21.6263,112064
1994-06-27,23.7448,23.7448,23.7448,23.7448,68714
1994-06-28,25.0689,25.0689,25.0689,25.0689,80666
1994-06-30,24.7158,24.7158,24.7158,24.7158,119846
1994-07-04,25.1571,25.1571,25.1571,25.1571,62764
1994-07-05,26.0398,26.0398,26.0398,26.0398,70001
1994-07-06,27.3639,27.3639,27.3639,27.3639,118431
1994-07-07,26.746,26.746,26.746,26.746,73212
1994-07-11,26.4812,26.4812,26.4812,26.4812,129853
1994-07-12,27.3639,27.3639,27.3639,27.3639,169292
1994-07-13,30.012,30.012,30.012,30.012,200908
1994-07-14,27.5405,27.5405,27.5405,27.5405,124902
1994-07-18,27.8935,27.8935,27.8935,27.8935,67009
1994-07-19,28.9528,28.9528,28.9528,28.9528,126794
1994-07-20,26.4812,26.4812,26.4812,26.4812,121679
1994-07-21,27.8935,27.8935,27.8935,27.8935,70760
1994-07-25,26.4812,26.4812,26.4812,26.4812,133989
1994-07-26,26.4812,26.4812,26.4812,26.4812,76971
1994-07-27,26.9226,26.9226,26.9226,26.9226,31368
1994-07-28,26.4812,26.4812,26.4812,26.4812,36232
1994-08-01,26.4812,26.4812,26.4812,26.4812,55639
1994-08-02,27.1874,27.1874,27.1874,27.1874,33773
1994-08-03,28.2466,28.2466,28.2466,28.2466,74543
1994-08-04,29.1293,29.1293,29.1293,29.1293,80712
